"Edu2.FM","Labo.FM","Life.Exp","Edu.Exp","GNI","Mat.Mor","Ado.Birth","Parli.F"
0.4,0.991,59.7,12.2,"1,228",450,91.5,17.6
0.991,0.717,72.8,14.7,"5,069",120,18.1,0
0.98,0.702,70.4,12.3,"26,090",84,34.8,24.7
0.711,0.354,74.8,14.6,"10,404",46,4.6,31.3
0.65,0.415,75.3,14.5,"18,677",20,30.9,14.4
0.684,0.957,58.5,9.8,"1,613",360,126.6,35
0.956,0.795,71,15.1,"8,178",23,25.7,11.8
1.194,0.505,77,13.3,"60,868",8,27.6,17.5
0.999,0.811,80.7,16.2,"39,267",8,25.8,23.5
1.003,0.817,79.1,16.5,"52,947",28,31,19.4
